name,age_group,population
India_Meghalaya,0-4,482688
India_Meghalaya,5-19,1312081
India_Meghalaya,20-49,1368382
India_Meghalaya,50-64,270827
India_Meghalaya,65+,105200
India_Mizoram,0-4,141898
India_Mizoram,5-19,416626
India_Mizoram,20-49,572438
India_Mizoram,50-64,117975
India_Mizoram,65+,59883
India_Nagaland,0-4,249161
India_Nagaland,5-19,859479
India_Nagaland,20-49,992530
India_Nagaland,50-64,170683
India_Nagaland,65+,88274
India_Nct_of_Delhi,0-4,1705791
India_Nct_of_Delhi,5-19,5830925
India_Nct_of_Delhi,20-49,9775400
India_Nct_of_Delhi,50-64,1933207
India_Nct_of_Delhi,65+,781074
India_Odisha,0-4,4444590
India_Odisha,5-19,14903890
India_Odisha,20-49,22213343
India_Odisha,50-64,5706786
India_Odisha,65+,2802648
India_Puducherry,0-4,111620
India_Puducherry,5-19,373050
India_Puducherry,20-49,726367
India_Puducherry,50-64,189831
India_Puducherry,65+,87782
India_Punjab,0-4,2502226
India_Punjab,5-19,9508484
India_Punjab,20-49,15201447
India_Punjab,50-64,3704757
India_Punjab,65+,2178238
India_Rajasthan,0-4,8921872
India_Rajasthan,5-19,28582077
India_Rajasthan,20-49,32798986
India_Rajasthan,50-64,7773072
India_Rajasthan,65+,3695796
India_Sikkim,0-4,51629
India_Sikkim,5-19,229191
India_Sikkim,20-49,342756
India_Sikkim,50-64,72910
India_Sikkim,65+,31833
India_Tamil_Nadu,0-4,6328765
India_Tamil_Nadu,5-19,21269137
India_Tamil_Nadu,20-49,41820587
India_Tamil_Nadu,50-64,11777726
India_Tamil_Nadu,65+,4868372
India_Tripura,0-4,383335
India_Tripura,5-19,1248139
India_Tripura,20-49,2096062
India_Tripura,50-64,420417
India_Tripura,65+,234642
India_Uttar_Pradesh,0-4,24437991
India_Uttar_Pradesh,5-19,89301137
India_Uttar_Pradesh,20-49,90740310
India_Uttar_Pradesh,50-64,22812894
India_Uttar_Pradesh,65+,11064982
India_Uttarakhand,0-4,1120134
India_Uttarakhand,5-19,3953097
India_Uttarakhand,20-49,5010930
India_Uttarakhand,50-64,1377172
India_Uttarakhand,65+,570623
India_West_Bengal,0-4,8940499
India_West_Bengal,5-19,31391122
India_West_Bengal,20-49,49911382
India_West_Bengal,50-64,12577462
India_West_Bengal,65+,6063326
Indonesia,0-4,22284711
Indonesia,5-19,70866787
Indonesia,20-49,125415658
Indonesia,50-64,43557148
Indonesia,65+,20229339
Iran,0-4,6079583
Iran,5-19,20829842
Iran,20-49,43693859
Iran,50-64,13157109
Iran,65+,7354383
Iraq,0-4,5583246
Iraq,5-19,15918998
Iraq,20-49,18543990
Iraq,50-64,3963778
Iraq,65+,1547889
Ireland,0-4,289730
Ireland,5-19,1043305
Ireland,20-49,2115272
Ireland,50-64,956350
Ireland,65+,822765
Israel,0-4,872748
Israel,5-19,2430563
Israel,20-49,3611194
Israel,50-64,1243443
Israel,65+,1163867
Italy,0-4,2042699
Italy,5-19,7997107
Italy,20-49,20936936
Italy,50-64,13953616
Italy,65+,14504782
Jamaica,0-4,164585
Jamaica,5-19,597990
Jamaica,20-49,1393638
Jamaica,50-64,455425
Jamaica,65+,228183
Japan,0-4,4927197
Japan,5-19,16818680
Japan,20-49,46684042
Japan,50-64,23915234
Japan,65+,31725979
Japan_Aichi-ken,0-4,315608
Japan_Aichi-ken,5-19,1041749
Japan_Aichi-ken,20-49,2893513
Japan_Aichi-ken,50-64,1280010
Japan_Aichi-ken,65+,1647527
Japan_Akita-ken,0-4,31225
Japan_Akita-ken,5-19,125185
Japan_Akita-ken,20-49,315694
Japan_Akita-ken,50-64,240630
Japan_Akita-ken,65+,339430
Japan_Aomori-ken,0-4,44659
Japan_Aomori-ken,5-19,173924
Japan_Aomori-ken,20-49,434526
Japan_Aomori-ken,50-64,295832
Japan_Aomori-ken,65+,381291
Japan_Chiba-ken,0-4,228553
Japan_Chiba-ken,5-19,807105
Japan_Chiba-ken,20-49,2341263
Japan_Chiba-ken,50-64,1139632
Japan_Chiba-ken,65+,1506947
Japan_Ehime-ken,0-4,52841
Japan_Ehime-ken,5-19,184531
Japan_Ehime-ken,20-49,457582
Japan_Ehime-ken,50-64,283223
Japan_Ehime-ken,65+,408251
Japan_Fukui-ken,0-4,31411
Japan_Fukui-ken,5-19,112262
Japan_Fukui-ken,20-49,267012
Japan_Fukui-ken,50-64,156680
Japan_Fukui-ken,65+,214475
Japan_Fukuoka-ken,0-4,216110
Japan_Fukuoka-ken,5-19,696114
Japan_Fukuoka-ken,20-49,1842869
Japan_Fukuoka-ken,50-64,952638
Japan_Fukuoka-ken,65+,1207363
Japan_Fukushima-ken,0-4,69200
Japan_Fukushima-ken,5-19,265285
Japan_Fukushima-ken,20-49,653564
Japan_Fukushima-ken,50-64,435286
Japan_Fukushima-ken,65+,542488
Japan_Gifu-ken,0-4,79696
Japan_Gifu-ken,5-19,292041
Japan_Gifu-ken,20-49,707751
Japan_Gifu-ken,50-64,389395
Japan_Gifu-ken,65+,547314
Japan_Gumma-ken,0-4,73995
Japan_Gumma-ken,5-19,276015
Japan_Gumma-ken,20-49,701615
Japan_Gumma-ken,50-64,381782
Japan_Gumma-ken,65+,512067
Japan_Hiroshima-ken,0-4,119366
Japan_Hiroshima-ken,5-19,389061
Japan_Hiroshima-ken,20-49,1011351
Japan_Hiroshima-ken,50-64,517867
Japan_Hiroshima-ken,65+,734286
Japan_Hokkaido,0-4,189507
Japan_Hokkaido,5-19,669280
Japan_Hokkaido,20-49,1882077
Japan_Hokkaido,50-64,1122749
Japan_Hokkaido,65+,1472946
Japan_Hyogo-ken,0-4,216260
Japan_Hyogo-ken,5-19,758571
Japan_Hyogo-ken,20-49,1986034
Japan_Hyogo-ken,50-64,1035271
Japan_Hyogo-ken,65+,1418906
Japan_Ibaraki-ken,0-4,107437
